route_short_name;stop_headsign;stop_sequence_real;percentage_row
61;Hornsberg;1;0
61;Hornsberg;2;0
61;Hornsberg;3;0
61;Hornsberg;4;0
61;Hornsberg;5;0,164345404
61;Hornsberg;6;0,947368421
61;Hornsberg;7;1
61;Hornsberg;8;1
61;Hornsberg;9;0,901515152
61;Hornsberg;10;0
61;Hornsberg;11;0
61;Hornsberg;12;0
61;Hornsberg;13;0
61;Hornsberg;14;0
61;Hornsberg;15;0
61;Hornsberg;16;0,210084034
61;Hornsberg;17;0,375796178
61;Hornsberg;18;0,934508816
61;Hornsberg;19;0,077220077
61;Hornsberg;20;0
61;Hornsberg;21;0
61;Hornsberg;22;0
61;Hornsberg;23;0
61;Hornsberg;24;0
61;Hornsberg;25;0
61;Hornsberg;26;0
61;Hornsberg;27;0
