route_short_name,destination,stop_sequence_real,average_speed,average_speed_7-9,average_speed_79_1518,average_speed_non_79,average_speed_non79_1518
53,Karolinska institutet,2,22.432393437020355,21.95879585158974,21.829716267245068,22.432393437020355,22.762279887844716
53,Karolinska institutet,3,23.858785662605953,21.51296578075152,22.4638634320437,23.858785662605953,24.62452968427825
53,Karolinska institutet,4,18.265781247462954,17.07637041229278,17.286935384123222,18.265781247462954,18.806542248888405
53,Karolinska institutet,5,19.245962727002834,15.772296473893967,17.040340588295695,19.245962727002834,20.464453279155727
53,Karolinska institutet,6,14.308158384818265,12.171516234684752,12.833016207424429,14.308158384818265,15.10719373090659
53,Karolinska institutet,7,25.188254048438125,23.844340292564915,23.61599720761741,25.188254048438125,26.014904552374784
53,Karolinska institutet,8,13.965229093269455,12.994302317473089,13.152844759536165,13.965229093269455,14.370053609742612
53,Karolinska institutet,9,22.199290085165238,21.284169026919084,20.7643832116696,22.199290085165238,22.90954499244736
53,Karolinska institutet,10,17.46290833181471,15.52797923601947,16.528644687698954,17.46290833181471,17.939509042157546
53,Karolinska institutet,11,16.543348012654402,15.6458556520328,15.498014932623695,16.543348012654402,17.103732756588386
53,Karolinska institutet,12,13.564152105944409,13.599862979812412,12.50699975999114,13.564152105944409,14.136472513926003
53,Karolinska institutet,13,16.602817087441903,16.320948076644278,15.608602406726591,16.602817087441903,17.135798153392372
53,Karolinska institutet,14,17.80309841675054,17.054422248916843,16.89969346884233,17.80309841675054,18.259363541956706
53,Karolinska institutet,15,14.673579653917004,13.481104223104213,13.1002258881529,14.673579653917004,15.452363457706594
53,Karolinska institutet,16,15.308217731741168,13.870487117266771,14.260679824404829,15.308217731741168,15.804419898374169
53,Karolinska institutet,17,14.775796327419915,14.313590385882277,13.963918890619494,14.775796327419915,15.160369850114852
53,Karolinska institutet,18,15.70488443306413,14.423825597980686,13.38057993315934,15.70488443306413,16.798225036637763
53,Karolinska institutet,19,18.25424865322787,17.06956175734512,15.6688269885325,18.25424865322787,19.478922073346727
53,Karolinska institutet,20,14.599085687852408,14.726437236024339,14.019263236077888,14.599085687852408,14.879397204273202
53,Karolinska institutet,21,18.59150531015393,17.575534961405552,17.575268249858144,18.59150531015393,19.07943370003104
53,Karolinska institutet,22,33.664761219221845,31.446955767074055,32.47624310979301,33.664761219221845,34.23128818471625
