route_short_name,destination,stop_sequence_real,stop_name
53,Henriksdalsberget,1,Karolinska institutet västra
53,Henriksdalsberget,2,Norra Stationsgatan
53,Henriksdalsberget,3,Vikingagatan
53,Henriksdalsberget,4,S:t Eriksgatan
53,Henriksdalsberget,5,Hälsingegatan
53,Henriksdalsberget,6,Odenplan
53,Henriksdalsberget,7,Observatoriegatan
53,Henriksdalsberget,8,Sabbatsbergs sjukhus
53,Henriksdalsberget,9,Tegnérgatan
53,Henriksdalsberget,10,Norra Bantorget
53,Henriksdalsberget,11,Centralen
53,Henriksdalsberget,12,Tegelbacken
53,Henriksdalsberget,13,Riddarhustorget
53,Henriksdalsberget,14,Mälartorget
53,Henriksdalsberget,15,Kornhamnstorg
53,Henriksdalsberget,16,Slussen
53,Henriksdalsberget,17,Tjärhovsplan
53,Henriksdalsberget,18,Ersta sjukhus
53,Henriksdalsberget,19,Londonviadukten
53,Henriksdalsberget,20,Danvikstull
53,Henriksdalsberget,21,Henriksdalsviadukten
53,Henriksdalsberget,22,Henriksdalsberget
