route_short_name,destination,stop_sequence_real,stop_lat,stop_lon
53,Karolinska institutet,1,59.31103,18.117257
53,Karolinska institutet,2,59.312166,18.109989
53,Karolinska institutet,3,59.314588,18.098027
53,Karolinska institutet,4,59.315631,18.092316
53,Karolinska institutet,5,59.315666,18.088997
53,Karolinska institutet,6,59.316594,18.083365
53,Karolinska institutet,7,59.319014,18.074602
53,Karolinska institutet,8,59.322599,18.07074
53,Karolinska institutet,9,59.323101,18.068156
53,Karolinska institutet,10,59.325657,18.066712
53,Karolinska institutet,11,59.32876,18.06376
53,Karolinska institutet,12,59.332349,18.057762
53,Karolinska institutet,13,59.33529,18.055353
53,Karolinska institutet,14,59.337624,18.049705
53,Karolinska institutet,15,59.339108,18.04887
53,Karolinska institutet,16,59.340373,18.050884
53,Karolinska institutet,17,59.342821,18.04843
53,Karolinska institutet,18,59.342826,18.043188
53,Karolinska institutet,19,59.342723,18.039554
53,Karolinska institutet,20,59.342395,18.033174
53,Karolinska institutet,21,59.342988,18.028952
53,Karolinska institutet,22,59.346139,18.023303
