route_short_name,destination,stop_sequence_real,stop_lat,stop_lon
74,Hornsberg,1,59.306822,18.107348
74,Hornsberg,2,59.302858,18.103673
74,Hornsberg,3,59.304175,18.096115
74,Hornsberg,4,59.302771,18.088251
74,Hornsberg,5,59.306506,18.078118
74,Hornsberg,6,59.307666,18.075193
74,Hornsberg,7,59.307755,18.068796
74,Hornsberg,8,59.308938,18.063585
74,Hornsberg,9,59.312902,18.057649
74,Hornsberg,10,59.316359,18.055991
74,Hornsberg,11,59.317881,18.054299
74,Hornsberg,12,59.317312,18.04976
74,Hornsberg,13,59.316858,18.04588
74,Hornsberg,14,59.316111,18.040112
74,Hornsberg,15,59.316515,18.033574
74,Hornsberg,16,59.318594,18.032265
74,Hornsberg,17,59.328404,18.022071
74,Hornsberg,18,59.331943,18.023202
74,Hornsberg,19,59.334031,18.015684
74,Hornsberg,20,59.337033,18.009648
74,Hornsberg,21,59.339563,18.004969
