route_short_name,destination,stop_sequence_real,stop_lat,stop_lon
74,Sickla udde,1,59.339563,18.004969
74,Sickla udde,2,59.337527,18.00829
74,Sickla udde,3,59.333497,18.016235
74,Sickla udde,4,59.331148,18.023381
74,Sickla udde,5,59.327891,18.022024
74,Sickla udde,6,59.317999,18.032333
74,Sickla udde,7,59.315567,18.03377
74,Sickla udde,8,59.315703,18.037895
74,Sickla udde,9,59.316176,18.041559
74,Sickla udde,10,59.316916,18.047165
74,Sickla udde,11,59.317454,18.051466
74,Sickla udde,12,59.317479,18.055366
74,Sickla udde,13,59.314861,18.05663
74,Sickla udde,14,59.312379,18.057881
74,Sickla udde,15,59.309132,18.062583
74,Sickla udde,16,59.307575,18.069174
74,Sickla udde,17,59.307838,18.077643
74,Sickla udde,18,59.306529,18.078028
74,Sickla udde,19,59.302618,18.087804
74,Sickla udde,20,59.304164,18.09568
74,Sickla udde,21,59.302576,18.103449
74,Sickla udde,22,59.306733,18.10781
